Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2021-152156,11/8/2021,11/11/2021,Second Class,Claire Gute,Consumer,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2,CA-2021-152156,11/8/2021,11/11/2021,Second Class,Claire Gute,Consumer,South,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.582
3,CA-2021-138688,6/12/2021,6/16/2021,Second Class,Darrin Van Huff,Corporate,West,Office Supplies,Labels,Self-Adhesive Address Labels,14.62,2,0,6.8714
4,US-2020-108966,10/11/2020,10/18/2020,Standard Class,Sean O'Donnell,Consumer,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,US-2020-108966,10/11/2020,10/18/2020,Standard Class,Sean O'Donnell,Consumer,South,Office Supplies,Storage,Eldon Fold N Roll Cart System,22.368,2,0.2,2.5164
6,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,Brosina Hoffman,Consumer,West,Furniture,Furnishings,Eldon Expressions Wood Desk Accessories,48.86,7,0,14.1694
7,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,Brosina Hoffman,Consumer,West,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
8,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,Brosina Hoffman,Consumer,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
9,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,Brosina Hoffman,Consumer,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings,18.504,3,0.2,5.7825
10,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,Brosina Hoffman,Consumer,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet,114.9,5,0,34.47
11,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,Brosina Hoffman,Consumer,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
12,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,Brosina Hoffman,Consumer,West,Technology,Phones,Konftel 250 Conference phone,911.424,4,0.2,68.3568
13,CA-2022-161389,12/9/2022,12/13/2022,Second Class,Andrew Allen,Consumer,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2022-135545,11/27/2022,11/29/2022,Second Class,Irene Maddox,Consumer,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2021-156909,11/5/2021,11/10/2021,Standard Class,Harold Pawlan,Home Office,Central,Office Supplies,Appliances,Holmes HEPA Air Purifier,68.81,5,0.8,-123.858
16,US-2021-156909,11/5/2021,11/10/2021,Standard Class,Harold Pawlan,Home Office,Central,Office Supplies,Binders,Storex DuraTech Ranges,2.544,3,0.8,-3.816
17,CA-2022-105893,11/11/2022,11/18/2022,Standard Class,Pete Kriz,Consumer,Central,Office Supplies,Storage,Storex Durable Binders,665.88,6,0.4,-13.3176
18,CA-2022-167164,5/13/2022,5/15/2022,Second Class,Alejandro Grove,Consumer,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2022-143336,8/27/2022,9/1/2022,Second Class,Zuschuss Donatelli,Consumer,West,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium,8.56,2,0,2.4824
20,CA-2022-143336,8/27/2022,9/1/2022,Second Class,Zuschuss Donatelli,Consumer,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.0110
21,CA-2023-167199,10/3/2023,10/7/2023,Second Class,Ken Black,Consumer,South,Office Supplies,Binders,W.H. Snyder Binder,22.72,4,0,7.384
22,CA-2023-149677,1/28/2023,2/5/2023,Standard Class,Maria Etezadi,Consumer,West,Technology,Phones,Apple iPhone 14,1999.98,2,0,399.996
23,CA-2023-149677,1/28/2023,2/5/2023,Standard Class,Maria Etezadi,Consumer,West,Technology,Accessories,Logitech MX Master 3,249.99,3,0,87.4965
24,CA-2023-111682,11/19/2023,11/23/2023,Standard Class,Eric Hoffmann,Consumer,East,Technology,Machines,Canon imageCLASS MF8580Cdw,2799.982,2,0,979.9937
25,CA-2023-111682,11/19/2023,11/23/2023,Standard Class,Eric Hoffmann,Consumer,East,Office Supplies,Paper,Xerox Premium Multipurpose,45.98,5,0,18.392
26,CA-2023-134915,8/3/2023,8/7/2023,Standard Class,Lena Hernandez,Corporate,West,Furniture,Chairs,HON 5400 Series Task Chairs,731.94,3,0,219.582
27,CA-2023-134915,8/3/2023,8/7/2023,Standard Class,Lena Hernandez,Corporate,West,Technology,Accessories,Plantronics CS510,299.97,3,0.2,74.9925
28,US-2023-168116,5/22/2023,5/24/2023,First Class,Ted Butterfield,Corporate,West,Technology,Accessories,Belkin 36 Outlet Metal Power Strip,269.94,3,0,134.97
29,CA-2022-119914,12/2/2022,12/6/2022,Standard Class,Dorothy Badders,Consumer,East,Technology,Phones,Samsung Galaxy S22,999.99,1,0,199.998
30,CA-2022-119914,12/2/2022,12/6/2022,Standard Class,Dorothy Badders,Consumer,East,Furniture,Furnishings,Sauder Pineland L-Shaped Desk,1299.99,1,0.1,129.999
31,CA-2021-109806,11/24/2021,11/28/2021,Standard Class,Nora Price,Consumer,Central,Office Supplies,Storage,Avery Heavy Gauge Vinyl,32.4,4,0.2,8.1
32,CA-2021-109806,11/24/2021,11/28/2021,Standard Class,Nora Price,Consumer,Central,Furniture,Bookcases,Sauder Classic Bookcase,494.99,2,0,99.0
